what,kind,bundleId,bundleVersion,description,time
java.runtime.name,sysinfo,,,"Java(TM) 2 Runtime Environment, Standard Edition",1254910650100
java.runtime.version,sysinfo,,,"1.5.0_16-b06-284",1254910650100
java.specification.name,sysinfo,,,"Java Platform API Specification",1254910650100
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1254910650100
java.specification.version,sysinfo,,,"1.5",1254910650100
java.vendor,sysinfo,,,"Apple Inc.",1254910650100
java.version,sysinfo,,,"1.5.0_16",1254910650100
java.vm.info,sysinfo,,,"mixed mode",1254910650100
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1254910650100
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1254910650100
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1254910650100
java.vm.specification.version,sysinfo,,,"1.0",1254910650100
java.vm.vendor,sysinfo,,,"Apple Inc.",1254910650100
java.vm.version,sysinfo,,,"1.5.0_16-133",1254910650100
started,bundle,org.eclipse.jst.j2ee.jca,1.1.300.v200903120000,"org.eclipse.jst.j2ee.jca",1254910650658
started,bundle,org.eclipse.mylyn.context.core,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.context.core",1254910650700
started,bundle,org.eclipse.jst.j2ee.ejb,1.1.300.v200904230730,"org.eclipse.jst.j2ee.ejb",1254910650794
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254910650930
started,bundle,org.eclipse.mylyn.context.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.context.ui",1254910650933
activated,editor,org.maven.ide.eclipse.editor,0.9.8.200905041414,"org.maven.ide.eclipse.editor.MavenPomEditor",1254910650940
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.tasks.ui",1254910651172
started,bundle,org.eclipse.wst.wsdl.validation,1.1.401.v200902271605,"org.eclipse.wst.wsdl.validation",1254910651173
started,bundle,org.eclipse.mylyn.team.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.team.ui",1254910651290
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.200.v200905120445,"org.eclipse.wst.jsdt.web.core",1254910651937
started,bundle,org.eclipse.jst.jsf.ui,1.2.1.v20090827,"org.eclipse.jst.jsf.ui",1254910652244
