what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254941117305
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254941117475
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254941117932
executed,command,org.tigris.subversion.subclipse.ui,1.6.5,"org.tigris.subversion.subclipse.ui.commit",1254941117936
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.301.v200909020100,"org.eclipse.jst.j2ee.J2EEPerspective",1254941120298
activated,editor,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare.CompareEditor",1254941120310
activated,editor,com.aptana.ide.editor.xml,1.5.0.25354,"com.aptana.ide.editors.XMLEditor",1254941122411
closed,editor,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare.CompareEditor",1254941122411
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1254941158650
opened,editor,com.aptana.ide.editor.xml,1.5.0.25354,"com.aptana.ide.editors.XMLEditor",1254941163373
activated,editor,com.aptana.ide.editor.xml,1.5.0.25354,"com.aptana.ide.editors.XMLEditor",1254941163430
activated,editor,com.aptana.ide.editor.xml,1.5.0.25354,"com.aptana.ide.editors.XMLEditor",1254941179592
closed,editor,com.aptana.ide.editor.xml,1.5.0.25354,"com.aptana.ide.editors.XMLEditor",1254941179592
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254941185339
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254941227284
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254941309150
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254941663390
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1254941668095
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254941692681
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254941698708
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1254941703812
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1254941707959
activated,editor,com.aptana.ide.editor.xml,1.5.0.25354,"com.aptana.ide.editors.XMLEditor",1254941710365
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1254941710474
closed,editor,com.aptana.ide.editor.xml,1.5.0.25354,"com.aptana.ide.editors.XMLEditor",1254941710474
