what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.server.core,1.2.0.v20090421,"org.eclipse.jst.server.core",1254938892499
opened,editor,com.aptana.ide.editor.xml,1.5.0.25354,"com.aptana.ide.editors.XMLEditor",1254938901919
activated,editor,com.aptana.ide.editor.xml,1.5.0.25354,"com.aptana.ide.editors.XMLEditor",1254938901969
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254938909766
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254938983837
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1254938986652
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254938990947
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254938994975
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254938998951
opened,editor,com.aptana.ide.editor.xml,1.5.0.25354,"com.aptana.ide.editors.XMLEditor",1254939008683
activated,editor,com.aptana.ide.editor.xml,1.5.0.25354,"com.aptana.ide.editors.XMLEditor",1254939008711
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254939008745
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1254939008757
activated,editor,com.aptana.ide.editor.xml,1.5.0.25354,"com.aptana.ide.editors.XMLEditor",1254939010222
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1254939011711
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1254939023942
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1254939028707
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254939031977
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254939136578
activated,editor,com.aptana.ide.editor.xml,1.5.0.25354,"com.aptana.ide.editors.XMLEditor",1254939136643
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1254939138515
opened,editor,com.aptana.ide.editor.xml,1.5.0.25354,"com.aptana.ide.editors.XMLEditor",1254939142297
activated,editor,com.aptana.ide.editor.xml,1.5.0.25354,"com.aptana.ide.editors.XMLEditor",1254939142344
activated,editor,com.aptana.ide.editor.xml,1.5.0.25354,"com.aptana.ide.editors.XMLEditor",1254939153934
closed,editor,com.aptana.ide.editor.xml,1.5.0.25354,"com.aptana.ide.editors.XMLEditor",1254939153934
