what,kind,bundleId,bundleVersion,description,time
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1254960656428
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1254960657400
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1254960687239
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.cut",1254960717262
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1254960718790
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.cut",1254960730460
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1254960731404
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1254960784196
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1254960787899
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254960795686
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254960848391
activated,editor,com.aptana.ide.editor.xml,1.5.0.25354,"com.aptana.ide.editors.XMLEditor",1254960856532
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254960886627
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254960888559
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254960941419
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254960973169
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1254960987146
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254960999501
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254961054764
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254961068594
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254961116330
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1254961161202
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254961165950
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254961221674
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1254961252727
