what,kind,bundleId,bundleVersion,description,time
closed,editor,org.eclipse.wst.xml.ui,1.1.1.v200908242115,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1254938550359
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1254938553064
started,bundle,com.aptana.ide.pathtools,1.5.0.26125,"com.aptana.ide.pathtools",1254938556214
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254938556799
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254938632937
started,bundle,org.eclipse.jdt.junit,3.5.1.r351_v20090708-0800,"org.eclipse.jdt.junit",1254938634891
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254938639064
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254938656125
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.import",1254938656196
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.import",1254938656196
started,bundle,org.eclipse.pde.core,3.5.100.v20090821,"org.eclipse.pde.core",1254938656240
error,log,,,"Resource '/example-comet-resteasy' is not open.",1254938656885
started,bundle,org.eclipse.wst.html.core,1.1.300.v200903120608,"org.eclipse.wst.html.core",1254938657578
started,bundle,org.eclipse.wst.css.core,1.1.300.v200904131653,"org.eclipse.wst.css.core",1254938657925
error,log,,,"Resource '/example-comet-resteasy' is not open.",1254938657957
activated,editor,org.maven.ide.eclipse.editor,0.9.8.200905041414,"org.maven.ide.eclipse.editor.MavenPomEditor",1254938662572
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1254938662665
closed,editor,org.maven.ide.eclipse.editor,0.9.8.200905041414,"org.maven.ide.eclipse.editor.MavenPomEditor",1254938662665
started,bundle,org.eclipse.jst.jee.ejb,1.0.201.v200908101600,"org.eclipse.jst.jee.ejb",1254938664634
started,bundle,org.eclipse.jst.jee.web,1.0.200.v200904130912,"org.eclipse.jst.jee.web",1254938664650
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254938670396
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254938890764
started,bundle,org.eclipse.wst.server.core,1.1.102.v20090825,"org.eclipse.wst.server.core",1254938892427
started,bundle,org.eclipse.wst.server.ui,1.1.103.v20090909,"org.eclipse.wst.server.ui",1254938892457
started,bundle,org.maven.ide.eclipse.launching,0.9.8.200905041413,"org.maven.ide.eclipse.launching",1254938892479
