what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254939980734
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254940008564
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1254940010234
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1254940010748
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1254940011935
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254940018746
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254940105269
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1254940113265
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254940115021
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254940218200
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1254940231878
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254940236104
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254940259575
activated,editor,com.aptana.ide.editor.xml,1.5.0.25354,"com.aptana.ide.editors.XMLEditor",1254940274705
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254940301520
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254940314427
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1254940316537
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254940320353
opened,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1254940325019
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1254940325055
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254940325089
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1254940325100
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1254940326736
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254940475617
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254940482752
