what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"en_US",1255023120716
processors,sysinfo,,,"2",1255023120716
java.runtime.name,sysinfo,,,"Java(TM) 2 Runtime Environment, Standard Edition",1255023120716
java.runtime.version,sysinfo,,,"1.5.0_16-b06-284",1255023120716
java.specification.name,sysinfo,,,"Java Platform API Specification",1255023120716
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1255023120716
java.specification.version,sysinfo,,,"1.5",1255023120716
java.vendor,sysinfo,,,"Apple Inc.",1255023120716
java.version,sysinfo,,,"1.5.0_16",1255023120716
java.vm.info,sysinfo,,,"mixed mode",1255023120716
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1255023120716
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1255023120716
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1255023120716
java.vm.specification.version,sysinfo,,,"1.0",1255023120716
java.vm.vendor,sysinfo,,,"Apple Inc.",1255023120716
java.vm.version,sysinfo,,,"1.5.0_16-133",1255023120716
started,bundle,org.eclipse.jem.workbench,2.0.201.v200908271530,"org.eclipse.jem.workbench",1255023120736
started,bundle,org.rubypeople.rdt.ui,1.2.3.26356,"org.rubypeople.rdt.ui",1255023120769
started,bundle,com.aptana.rdt.ui,1.3.1.26356,"com.aptana.rdt.ui",1255023120770
started,bundle,org.rubypeople.rdt.debug.ui,1.3.1.26263,"org.rubypeople.rdt.debug.ui",1255023120770
started,bundle,org.radrails.rails.core,1.3.1.26264,"org.radrails.rails.core",1255023120782
started,bundle,org.radrails.rails.ui,1.3.1.26334,"org.radrails.rails.ui",1255023120783
error,log,,,"Resource '/example-comet-resteasy' is not open.",1255023120784
started,bundle,com.aptana.ide.io.file,1.5.0.25645,"com.aptana.ide.io.file",1255023120791
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1255023120810
