what,kind,bundleId,bundleVersion,description,time
activated,editor,com.aptana.ide.editor.xml,1.5.0.25354,"com.aptana.ide.editors.XMLEditor",1255029525848
closed,editor,com.aptana.ide.editor.xml,1.5.0.25354,"com.aptana.ide.editors.XMLEditor",1255029525848
activated,editor,org.maven.ide.eclipse.editor,0.9.8.200905041414,"org.maven.ide.eclipse.editor.MavenPomEditor",1255029529404
closed,editor,com.aptana.ide.editor.xml,1.5.0.25354,"com.aptana.ide.editors.XMLEditor",1255029529405
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1255029740656
opened,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1255029749020
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1255029749057
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1255029776594
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255029777907
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255030079950
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1255030082094
activated,editor,org.maven.ide.eclipse.editor,0.9.8.200905041414,"org.maven.ide.eclipse.editor.MavenPomEditor",1255030082209
closed,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1255030082209
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255030093679
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1255030140664
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255030140772
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255030143236
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255030439416
started,bundle,org.maven.ide.eclipse.launching,0.9.8.200905041413,"org.maven.ide.eclipse.launching",1255030439807
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1255030445080
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1255030445160
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1255030497421
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255030502045
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255030509877
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1255030517692
