what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255039086383
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255039149839
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255039156991
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255039158194
started,bundle,com.aptana.ide.logging,1.5.0.24896,"com.aptana.ide.logging",1255039183840
opened,view,com.aptana.ide.server.ui,1.5.0.24896,"com.aptana.ide.server.ui.serversView",1255039183926
activated,view,org.rubypeople.rdt.ui,1.2.3.26356,"org.rubypeople.rdt.ui.RubyExplorer",1255039186722
activated,editor,com.aptana.ide.editor.erb,1.2.3.26264,"com.aptana.ide.editors.ERBEditor",1255039189496
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1255039224708
activated,editor,org.rubypeople.rdt.ui,1.2.3.26356,"org.rubypeople.rdt.ui.EditorRubyFile",1255039231021
closed,editor,com.aptana.ide.editor.erb,1.2.3.26264,"com.aptana.ide.editors.ERBEditor",1255039231021
activated,editor,org.rubypeople.rdt.ui,1.2.3.26356,"org.rubypeople.rdt.ui.EditorRubyFile",1255039232690
activated,view,org.rubypeople.rdt.ui,1.2.3.26356,"org.rubypeople.rdt.ui.RubyExplorer",1255039236178
opened,editor,com.aptana.ide.editor.erb,1.2.3.26264,"com.aptana.ide.editors.ERBEditor",1255039241094
activated,editor,com.aptana.ide.editor.erb,1.2.3.26264,"com.aptana.ide.editors.ERBEditor",1255039241170
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1255039330843
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1255039344108
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255039347345
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255039375472
activated,editor,org.rubypeople.rdt.ui,1.2.3.26356,"org.rubypeople.rdt.ui.EditorRubyFile",1255039377885
activated,editor,com.aptana.ide.editor.erb,1.2.3.26264,"com.aptana.ide.editors.ERBEditor",1255039379346
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255039380792
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255039382557
activated,view,org.rubypeople.rdt.ui,1.2.3.26356,"org.rubypeople.rdt.ui.RubyExplorer",1255039387270
opened,editor,com.aptana.ide.editor.erb,1.2.3.26264,"com.aptana.ide.editors.ERBEditor",1255039387595
