what,kind,bundleId,bundleVersion,description,time
activated,view,com.aptana.rdt.rake,1.3.1.26263,"com.aptana.rdt.ViewRakeTasks",1255634699864
error,log,,,"Setting executable bit for: /usr/local/jruby-1.3.1/bin/jruby",1255634699928
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255634703136
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255634707413
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255634721319
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255634741037
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255634747999
activated,view,org.rubypeople.rdt.ui,1.2.3.26356,"org.rubypeople.rdt.ui.RubyExplorer",1255634762396
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255634762467
started,bundle,com.aptana.ide.editor.yml,1.2.2.25649,"com.aptana.ide.editor.yml",1255634770757
started,bundle,com.aptana.ide.parsing.eclipse,1.0.0.25428,"com.aptana.ide.parsing.eclipse",1255634770798
started,bundle,com.aptana.ide.editors.codeassist,1.5.0.25664,"com.aptana.ide.editors.codeassist",1255634770917
started,bundle,com.aptana.ide.core.spellcheck,1.5.0.24896,"com.aptana.ide.core.spellcheck",1255634770939
opened,editor,com.aptana.ide.editor.yml,1.2.2.25649,"com.aptana.ide.editors.YMLEditor",1255634770991
started,bundle,com.aptana.ide.editor.css,1.5.0.25458,"com.aptana.ide.editor.css",1255634771054
started,bundle,com.aptana.ide.editor.js,1.5.0.25395,"com.aptana.ide.editor.js",1255634771453
started,bundle,com.aptana.ide.editor.json,1.5.0.26125,"com.aptana.ide.editor.json",1255634771475
activated,editor,com.aptana.ide.editor.yml,1.2.2.25649,"com.aptana.ide.editors.YMLEditor",1255634771599
activated,editor,org.rubypeople.rdt.ui,1.2.3.26356,"org.rubypeople.rdt.ui.EditorRubyFile",1255634787823
executed,command,org.rubypeople.rdt.testunit,1.2.3.26263,"org.rubypeople.rdt.testunit.testunitShortcut.run",1255634791671
error,log,,,"Setting executable bit for: /usr/local/jruby-1.3.1/bin/jruby",1255634791679
activated,view,org.rubypeople.rdt.testunit,1.2.3.26263,"org.rubypeople.rdt.testunit.views.TestUnitView",1255634793641
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255634806960
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255635047766
activated,editor,com.aptana.ide.editor.yml,1.2.2.25649,"com.aptana.ide.editors.YMLEditor",1255635049193
