what,kind,bundleId,bundleVersion,description,time
opened,editor,org.codehaus.groovy.eclipse.ui,2.0.0.xx-20091006-1400-e35,"org.codehaus.groovy.eclipse.editor.GroovyEditor",1256280488122
activated,editor,org.codehaus.groovy.eclipse.ui,2.0.0.xx-20091006-1400-e35,"org.codehaus.groovy.eclipse.editor.GroovyEditor",1256280488172
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1256280491241
activated,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1256280492707
closed,editor,org.codehaus.groovy.eclipse.ui,2.0.0.xx-20091006-1400-e35,"org.codehaus.groovy.eclipse.editor.GroovyEditor",1256280492707
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1256280493892
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1256280496549
closed,editor,org.codehaus.groovy.eclipse.ui,2.0.0.xx-20091006-1400-e35,"org.codehaus.groovy.eclipse.editor.GroovyEditor",1256280497813
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1256280497950
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1256280498021
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1256280504803
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1256280506090
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1256280506163
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1256280514154
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1256280533940
activated,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1256280534762
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1256280535041
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1256280536319
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1256280546427
opened,editor,org.codehaus.groovy.eclipse.ui,2.0.0.xx-20091006-1400-e35,"org.codehaus.groovy.eclipse.editor.GroovyEditor",1256280547713
activated,editor,org.codehaus.groovy.eclipse.ui,2.0.0.xx-20091006-1400-e35,"org.codehaus.groovy.eclipse.editor.GroovyEditor",1256280547763
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1256280552934
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1256280557593
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1256280559436
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1256280562868
