what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1256280419043
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.rename.element",1256280419125
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1256280423595
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1256280431517
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1256280434910
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1256280439870
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.rename.element",1256280439941
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1256280445943
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1256280447348
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1256280447420
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1256280459852
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1256280463343
opened,editor,org.codehaus.groovy.eclipse.ui,2.0.0.xx-20091006-1400-e35,"org.codehaus.groovy.eclipse.editor.GroovyEditor",1256280470463
activated,editor,org.codehaus.groovy.eclipse.ui,2.0.0.xx-20091006-1400-e35,"org.codehaus.groovy.eclipse.editor.GroovyEditor",1256280470512
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1256280473946
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1256280476201
activated,editor,org.codehaus.groovy.eclipse.ui,2.0.0.xx-20091006-1400-e35,"org.codehaus.groovy.eclipse.editor.GroovyEditor",1256280477911
closed,editor,org.codehaus.groovy.eclipse.ui,2.0.0.xx-20091006-1400-e35,"org.codehaus.groovy.eclipse.editor.GroovyEditor",1256280477911
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1256280479297
activated,editor,org.codehaus.groovy.eclipse.ui,2.0.0.xx-20091006-1400-e35,"org.codehaus.groovy.eclipse.editor.GroovyEditor",1256280480896
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1256280482361
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1256280484566
closed,editor,org.codehaus.groovy.eclipse.ui,2.0.0.xx-20091006-1400-e35,"org.codehaus.groovy.eclipse.editor.GroovyEditor",1256280486327
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1256280486500
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1256280486571
